Italian,English
nessuno/nessuno,Nobody
fai/fare,you do
giorno/giorno,day
ed/e,and
meglio/meglio,Better
padre/padre,father
puoi/potere,you can
ciao/ciao,HI
cos'/cosa,so
devi/dovere,you have to
ecco/ecco,Here you are
qualcuno/qualcuno,someone
dal/da + il,from the
lavoro/lavorare,Work
sa/sapere,know
ai/a + i,to the
vedere/vedere,see
ogni/ogni,Everything is fine
ii/il,II
troppo/troppo,too
posto/posto,place
cui/cui,which
tanto/tanto,much
male/male,bad
dai/da + i,come on
ce/ce,there is
bisogno/bisognare,need
signor/signore,Mr
beh/bene,Well
perchè/per + ché,Why
vieni/venire,You come
alle/a + le,to
dalla/da + la,from the
stata/stare,was
tra/tra,Between
vai/andare,Go
ehi/ehi! (interjection),Hey
miei/mio,my
amico/amico,Friend
dice/dire,He says
sarebbe/essere,would be
avete/avere,you have
altra/altra,other
deve/dovere,needs to
sulla/su + la,on the
qualche/qualche,some
sembra/sembra,it seems
gente/gente,people
dobbiamo/dovere,we have to
modo/modo,way
tre/tre,Three
momento/momento,moment
prego/prego,Please
parlare/parlare,speak
mamma/mama,mom
guarda/guardare,Look
signora/signora,Lady
grande/grande,great
lì/lì,there
madre/madre,mother
possiamo/potere,we can
avanti/avanti,after you
avere/avere,have
successo/successo,success
ero/essere,I was
donna/donna,woman
nuovo/nuovo,new
ah/ah! (interjection),Ah
faccio/fare,I do
aveva/avere,I had
nostro/nostro,our
degli/di + gli,of the
questi/questo,these
siete/essere,you are
forza/forza,Force
piace/piacere,pleases
bella/bello,Pretty
dov'/dove,where to
soldi/soldi,money
avevo/avere,I had
favore/favore,favor
fosse/essere,is
altri/altro,others
dispiace/dispiacere,sorry
subito/subito,right away
dentro/dentro,inside
oggi/oggi,Today
accordo/accordo,agreement
tutta/tutto,all
faccia/fare,face
nome/nome,first name
ok/okay (idiomatic),ok
notte/notte,Night
queste/questo,these
figlio/figlio,son
mondo/mondo,world
nostra/nostra,our
sapere/sapere,know
vado/andare,I go
tutte/tutta,all
aspetta/aspettare,Wait
amare/amore,love
moglie/moglie,wife
sicuro/sicuro,Safe
suoi/suo,his
penso/pensare,I think
paura/paura,fear
idea/idea,idea
testa/testa,head
papà/papà,Pope
giusto/giusto,Right
eh/eh! (interjection),eh
vorrei/volere,I would like
senti/sentire,feel
presto/presto,Soon
uomini/uomo,men
basta/basta,Enough
potrebbe/potere,could be
stesso/stesso,same
avuto/avere,had
porta/porta,brings
erano/essere,they were
stare/stare,to stay
buona/buono,Good
quindi/quindi,Therefore
farlo/fare + lo,to do it
appena/appena,as soon as
abbia/avere,have
ragione/ragione,reason
sentito/sentire,sense
ragazzi/ragazzo,Boys
domani/domani,Tomorrow
ragazza/ragazzo,lass
ragazzo/ragazzo,lad
insieme/insieme,Together
sotto/sotto,under
volevo/volere,I wanted
pronto/pronto,ready
nei/in + i,in the
ciò/ciò,that is
volte/volta,times
capito/capire,Understood
succede/succedere,happens
preso/preso,taken 
facendo/fare,doing
piacere/piacere,Pleasure
morto/morto,died
tuoi/tuo,your
capitano/capitano,captain
letto/letto,Bed
storia/storia,history
caso/caso,case
trovato/trovare,found
amici/amico,friends
venire/venire,come
dico/dire,I say
capisco/capire,I understand
problema/problema,problem
fino/fino,until
tipo/tipo,guy
là/là,there
qua/qui,here
pensi/pensare,think
aver/avere,have
giorni/giorno,days
cazzo/cazzo (vulgar),fuck
okay/okay (idiomatic),okay
nulla/nulla,Nothing
bello/bello,Handsome
persone/persona,people
buon/buon,Good
terra/terra,Earth
ia/i + a,ia
dato/dare,given
secondo/secondo,second
film/film,movie
nell'/in + l',in the'
mano/mano,hand
facciamo/fare,we do
vediamo/vedere,We see
vedo/vedere,I see
stanno/stare,they are
avrei/avere,I would have
prendere/prendere,take
dici/dire,you say
serve/serva,serve
morte/morta,death
meno/meno,less
città/città,city
occhi/occhi,eyes
fine/fine,end
"Sig./Sig., signore",Mr
ê/essere,And
tesoro/tesoro,treasure
scusi/scusare,Excuse me
primo/primo,first
credi/credere,believe
salve/salve,Greetings
nave/nave,ship
stiamo/stare,we are
sera/sera,evening
piano/piano,floor
sento/sentire,I feel
macchina/macchina,machine
vostro/vostro,your
mani/mano,hands
neanche/neanche,not even
dall'/da + l',from
dottore/dottore,doctor
quale/quale,Which
abbastanza/abbastanza,Enough
tardi/tardi,late
bel/bello,nice
cuore/cuore,Heart
famiglia/famiglia,family
far/fare,do
stati/stato,States
aiuto/aiutare,help
diavolo/diavolo,devil
nostri/nostro,our
col/con + il,with the
quasi/quasi,Almost
polizia/polizia,police
capo/capo,boss
avrebbe/avere,it would have
quei/quelli,those
mie/mia,my
tornare/tornare,return
però/però,However
contro/contro,against
viene/venire,he comes
mentre/mentre,While
scusa/scusare,Excuse me
sola/solo,lonely
spero/sperare,I hope
quelle/quella,those
trovare/trovare,find
giro/giro,tour
anch'/anche,too
guerra/guerra,war
sue/sua,his
bambino/bambino,child
strada/strada,street
vecchio/vecchio,old
fratello/fratello,Brother
acqua/acqua,waterfall
stasera/stasera,this evening
pensavo/pensare,I thought
chiama/chiamare,who loves
persona/persona,person
vedi/vedere,you see
fu/essere,was
anno/anno,year
vostra/vostro,your
veramente/veramente,Truly
finito/finito,finished
marito/marito,Husband
minuti/minuto,minutes
giù/giù,below
donne/donna,women
bravo/bravo,good boy
bambini/bambino,children
ricordi/ricordare,memories
quelli/quello,those
state/stare,state
ore/ora,hours
stavo/stare,I was
dovuto/dovere,due
nemmeno/nemmeno,neither
venuto/venire,coming
indietro/indietro,backwards
stessa/stesso,same
importa/importare,it matters
nessun/nessuno,no
punto/punto,point
invece/invece,Instead
perso/perdere,lost
possibile/possibile,possible
ucciso/uccidere,killed
forte/forte,strong
pensato/pensare,thought
dovrebbe/dovrebbe,should
pensa/pensare,thinks
poco/poco,little
parla/parlare,speaks
farò/fare,lighthouse
cercando/cercare,looking for
l/l',L
verità/verità,truth
andato/andare,left
quell'/quella,that'
re/re,king
fanno/fare,they do
potrei/potere,I could
importante/importante,important
quest'/questa,this
amo/amare,I love
chiesto/chiedere,asked
cosi/coso,Like this
nelle/in + le,in
felice/felice,happy
piedi/piede,feet
merda/merda (vulgar),shit
piccolo/piccolo,small
prendi/prendere,you take
dietro/dietro,behind
sapevo/sapere,I knew
buongiorno/buon + giorno,Good morning
passato/passare,past
dollari/dollaro,dollars
com'/come,as
pure/pura,mashed potato
pensare/pensare,think
cinque/cinque,five
vicino/vicino,Neighbor
uscire/uscire,go out
conosco/conoscere,I know
verso/verso,towards
altre/altro,other
quattro/quattro,four
morire/morire,die
sangue/sangue,blood
eri/essere,you was
almeno/almeno,at least
dica/dire,say
lascia/lasciare,leaves
vivere/vivere,live
colpa/colpa,guilt
portato/portare,carried
entrare/entrare,enter
ricordo/ricordare,I remember
pace/pace,peace
roba/roba,stuff
migliore/migliore,improve
fate/fare,you do
difficile/difficile,difficult
settimana/settimana,week
ultima/ultimo,last
dovrei/dovere,I should
fatta/fatta,made
conto/conto,I count
stanza/stanza,room
fra/fra,between
comunque/comunque,Anyway
sentire/sentire,feel
numero/numero,number
parlato/parlare,spoke
mente/mente,mind
messo/messo,put in order
strano/strano,strange
fortuna/fortuno,fortune
perdere/perdere,LOSE
tue/tuo,your
né/né,neither
figlia/figlia,Daughter
molti/molto,many
volete/volere,you want
dottor/dottore,Doctor
parola/parola,word
signori/signore,gentlemen
andata/andata,outward
vista/vista,view
vede/vedere,see
nessuna/nessuno,none
finché/finché,until
dare/dare,give
dammi/dare + mi (imperative),give me
mesi/mese,months
fuoco/fuoco,fire
voleva/volere,he wanted
mangiare/mangiare,eat
lasciato/lasciare,left
figli/figlio,children
serio/serio,serious
paese/paese,village
farà/fare,will make
capire/capire,understand
mezzo/mezzo,half
prova/prova,trial
cara/caro,Dear
perche'/per + ché,Why'
cane/cane,dog
dimmi/dire + mi (imperative),Tell me
fossi/essere,dive
senso/senso,sense
riesco/riuscire,I am able to
ieri/ieri,Yesterday
possa/potere,can
potuto/potere,could
scuola/scuola,school
S./S. (signore),S.
possono/potere,can
lavorare/lavorare,work
significa/significare,it means
resto/resto,rest
vada/andare,go
piccola/piccolo,small
pare/parere,it seems
bere/bere,drinking
ben/bene,well
cena/cena,dinner
giovane/giovane,young
problemi/problema,problems
quanti/quanto,how many
gran/grande,large
attimo/attimo,moment
ascolta/ascoltare,Listen
agli/a + gli,to
dovresti/dovere,you should
corpo/corpo,body
musica/musica,music
gioco/gioco,game
qual/qualle,that
aria/aria,air
sarò/essere,I will be
farmi/fare + mi,make me
magari/magari,Perhaps
davanti/davanti,in front of
chiamo/chiamare,call
genere/genere,type 
libro/libro,book
domanda/domanda,request
chiamato/chiamare,called
passare/passare,pass
dalle/da + le,give her
campo/campo,field
lungo/lungo,long
torna/tornare,back
paio/paio,pair
stava/stare,was
finita/finito,finite
saranno/essere,they will be
vogliono/volere,they want
hey/Hey! (interjection),Hey
cielo/cielo,sky
parole/parola,words
auto/auto,car
sorella/sorella,sister
nuova/nuovo,new
stia/stare,stia
signorina/signorina,Miss
festa/festa,party
spiace/spiacere,unpleasant
sopra/sopra,above
bisogna/bisognare,must
vuol/volere,vuol
telefono/telefono,telephone
affari/affare,business
facile/facile,easy
parlando/parlare,speaking
caro/caro,Dear
sui/su + i,on
pronti/pronto,ready
restare/restare,remain
attenzione/attenzione,Attention
crede/credere,you think
nostre/nostra,our
controllo/controllo,check
molte/molto,many
unica/unico,unique
dovremmo/dovere,we should
farti/fare,make you
soltanto/soltanto,only
piu'/più,more'
buono/buono,Good
puttana/puttana (vulgar),whore
vivo/vivere,I live
sappiamo/sapere,we know
luce/luce,light
generale/generale,general
qualsiasi/qualsiasi,any
vogliamo/volere,we want
ultimo/ultimo,last
dicono/dire,they say
benissimo/bene,Very well
foto/fotografia,photo
unico/unico,unique
onore/onore,honor
ragazze/ragazza,girls
scritto/scrivere,written
andate/andare,go
tieni/tenere,keep
siano/essere,they are
ufficio/ufficio,office
entra/entrare,enter
chiedo/chiedere,I ask
coraggio/coraggio,courage
andando/andare,going
venga/venire,come
dieci/dieci,ten
credevo/credere,I believed
voglia/volere,wants
potremmo/potere,we could
esatto/esatto,Exactly
credere/credere,believe
tratta/trattare,deals with
eravamo/essere,we were
arrivato/arrivato,arrived
bambina/bambino,girl
pistola/pistola,pistol
voce/voce,voice
dormire/dormire,sleep
lasci/lasciare,leave
avessi/avere,had
chiaro/chiaro,clear
aspetto/aspetto,I wait
squadra/squadra,squad
attento/attentare,careful
cerca/cercare,near
ordine/ordine,order
arrivederci/arrivederci,Until we meet again
arriva/arrivare,he arrives
armi/armo,weapons
sulle/su + le,on
ormai/ormai,at this point
maggiore/maggiore,greater
fretta/fretta,rush
sarai/essere,you will be
sacco/sacco,sack
fatti/fatto,facts
York/York,York
parli/parlare,you speak
colpo/colpo,hit
sarei/essere,I would be
m'/mi,m '
caffè/caffè,coffee
capisci/capire,you understand
dicendo/dire,saying
vostri/vostro,your
camera/camera,room
alcuni/alcuno,some
cercare/cercare,look for
arrivo/arrivare,I arrive
aspettare/aspettare,wait
situazione/situazione,situation
faremo/fare,we will do
deciso/decidere,decided
esattamente/esattamente,Exactly
dev'/deve,it must
addio/addio,Goodbye
scena/scena,scene
inglese/inglese,English
perfetto/perfetto,Perfect
potete/potere,you can
fammi/fare + mi,do for me
alto/alto,high
dello/di + lo,of the
prendo/prendere,I take
conosci/conoscere,you know
be'/bello,well
sapete/sapere,you know
pazzo/pazzo,crazy
chiami/chiamare,who do you Love
tornato/tornare,got back
sicura/sicuro,safe
lasciare/lasciare,leave
capelli/capelli,hair
potere/potere,candies
avevi/avere,you had
morti/morte,dead
avrà/avere,will have
fantastico/fantastico,Fantastic
matrimonio/matrimonio,marriage
passo/passo,step
portare/portare,bring
aspetti/aspettare,aspect
torno/tornare,back
arrivare/arrivare,arrive
guai/guai! (interjection),trouble
trova/trovare,finds
motivo/motivo,reason
resta/restare,remain
inizio/inizio,start
smettila/smettere + la,stop that
diventare/diventare,become
potresti/potere,you could
n'/ne,n '
voluto/volere,wanted
vanno/andare,they go
disse/dire,She said
morta/morto,dead
de/del,de
bagno/bagno,bath
zio/zio,Uncle
futuro/futuro,future
sbagliato/sbagliato,wrong
guardi/guardare,look
cosi'/così,Like this'
sicurezza/sicurezza,safety
pezzo/pezzo,piece
devono/dovere,they have to
venuta/venire,coming
allo/a + lo,at the
tenente/tenere,lieutenant
silenzio/silenzio,silence
porto/porto,port
uccidere/uccidere,kill
odio/odio,hate
sull'/su + l',on
giocare/giocare,play
lontano/lontano,distant
durante/durante,during
segreto/segreto,secret
sole/sole,Sun
mettere/mettere,put
venite/venire,come
dirmi/dire + mi,tell me
sistema/sistema,system
viaggio/viaggio,voyage
causa/causa,cause
r/R,r
comandante/comandante,commander
settimane/settimana,weeks
semplice/semplice,simple
minuto/minuto,minute
divertente/divertire,fun
avresti/avere,you would have
grandi/grande,big
presidente/presidente,president
bocca/bocca,mouth
permesso/permesso,permit
vecchia/vecchio,old
culo/culo (vulgar),ass
sogno/sogno,dream
glielo/gli + a + lo,it
c/C,c
guardare/guardare,watch
probabilmente/probabilmente,probably
vengo/venire,I come
lasciami/lasciare + mi,leave me
negli/in + gli,in
do/dare,do
fermo/fermo,stopped
zitto/zitto,Shut up
vera/vero,real
tante/tanto,many
ln/?,LN
colonnello/colonnello,colonel
stupido/stupido,stupid
Cristo/Cristo,Christ
conosce/conoscere,know
fame/fame,hunger
cura/cura,treatment
prigione/prigione,prison
finire/finire,finish
farai/fare,you will do
d/D,d
buonanotte/buona + notte,Good night
prossima/prossimo,next
brava/bravo,Good
specie/specie,species
prende/prendere,takes
piacerebbe/piacere,would like
circa/circa,about
funziona/funzionare,works
dovete/dovere,you have to
brutto/brutto,ugly
vattene/andarsene,get out
sente/sentire,feel
cavallo/cavallo,horse
peccato/peccato,Sin
mattina/mattina,morning
consiglio/consiglio,advise
cambiare/cambiare,change
saperlo/sapere + lo,know it
usare/usare,use
naturalmente/naturalmente,naturally
continua/continuare,continues
scelta/scelto,choice
possibilità/possibilità,possibility
spesso/spesso,Often
dà/dare,from
dirti/dire + ti,tell you
piuttosto/piuttosto,rather
trovo/trovare,I find
fondo/fondo,bottom
ricorda/ricordare,remember
guardate/guardare,watch
ospedale/ospedale,hospital
qualunque/qualunque,anyone
Maria/Maria,Maria
andrà/andare,will go
legge/leggere,law
agente/agire,agent
oltre/oltre,beyond
avesse/avere,had
servizio/servizio,service
tanti/tanti,many
messaggio/messaggio,message
giornata/giornata,day
faceva/fare,he did
energia/energia,power
incredibile/incredibile,incredible
sala/sala,room
mandato/mandare,mandate
chiamare/chiamare,call
doveva/dovere,where you go
"libero/libere, liberare",free
aereo/aereo,airplane
ricevuto/ricevere,received
porti/porti,port
preoccuparti/preoccupare + ti,worry
uh/uh,uh
finalmente/finalmente,finally
quali/quali,which
stronzo/stronzo,asshole
mostro/mostro,monster
sette/sette,seven
pronta/pronta,ready
metti/mettere,you put
programma/programma,plan
poteva/potere,he could
parti/parti,set off
saputo/sapere,known
partita/partita,match
gentile/gentile,Kind
poter/poter,being able
freddo/freddo,Freddo
s'/s',s'
piacciono/piacciono,like
vederti/vedere + ti,see you
domande/domande,requests
peggio/peggio,worse
sanno/sapere,they know
genitori/genitori,parents
amica/amica,friend
solito/solito,usual
anima/anima,soul
terribile/terribile,terrible
buonasera/buonasera,Good evening
oro/oro,gold
occhio/occhio,eye
si'/si',Yes'
radio/radio,radio
quante/quante,how much it is
pieno/pieno,full
rapporto/rapportare,relationship
avrai/avere,you will have
alcune/alcune,someone
provare/provare,try
carino/carino,cute
scoperto/scoprire,discovery
America/america,America
denaro/denaro,money
compagnia/compagnia,company
interessante/interessante,Interesting
avvocato/avvocato,lawyer
t'/t',t
vestito/vestire,dress
ottimo/ottimo,Optimal
avevano/avere,they had
esercito/esercito,army
vestiti/vestiti,clothes
treno/treno,train
succedendo/succedere,succeeding
mese/mese,month
impossibile/impossibile,impossible
chiunque/chiunque,whoever
vale/valere,vale
nello/in + lo,in
milioni/milioni,millions
cibo/cibo,food
tempi/tempi,time
jim/jim,jim
piu/piu,more
laggiù/laggiù,over there
intorno/intorno,environment
servono/servire,need
chiave/chiave,key
coi/coi,with
diritto/diritto,right
dimenticato/dimenticato,forgotten
ve/ve,ve
natale/natale,Christmas
calma/calmare,calm
altrimenti/altrimenti,otherwise
t/T,t
provato/provare,tried
dirlo/dire + lo,make him
cinema/cinema,cinema
chiedere/chiedere,ask
ritardo/ritardo,delay
realtà/realtà,reality
mare/mare,sea
maestro/maestro,master
TV/TV,TV
pagare/pagare,pay
pianeta/pianeta,planet
fronte/fronte,forehead
addosso/addossare,on
entrambi/entrambi,both
dia/dia,diamond
cambiato/cambiare,changed
interessa/interessa,interest
assolutamente/assolutamente,absolutely
risposta/risposta,answer
rispetto/rispetto,respect
pena/pena,penalty
Gesù/Gesù,Jesus
incontro/incontrare,encounter
cercato/cercare,looked for
occhiata/occhiata,look
pensando/pensare,think
cioè/cioè,Meaning what
notizie/notizie,news
sorpresa/sorpresa,surprise
bastardo/bastardo,Bastard
salute/salute,Health
lettera/lettera,letter
incidente/incidente,accident
grosso/grosso,big
soli/soli,suns
mica/mica,not
sembrava/sembrare,It seemed
grado/grado,grade
aiutare/aiutare,help
sinistra/sinistra,left
dovevo/dovere,I had to
contento/contento,happy
canzone/canzone,song
sapeva/sapere,He knew
santo/santo,holy
verrà/venire,it will come
saremo/essere,we will be
speciale/speciale,special
diceva/dire,he said
posizione/posizione,position
gruppo/gruppo,group
giuro/giurare,I swear
